4,8,1.081324,0.000062
4,16,1.077455,0.000039
4,32,1.082150,0.000035
4,64,1.077742,0.000048
4,128,1.081480,0.000260
4,256,1.077585,0.000227
8,8,1.097801,0.000013
8,16,1.089251,0.000015
8,32,1.086352,0.000022
8,64,1.085084,0.000012
8,128,1.086589,0.000177
8,256,1.087644,0.000228
16,8,1.143845,0.000032
16,16,1.163540,0.000034
16,32,1.130356,0.000033
16,64,1.146943,0.000034
16,128,1.144233,0.000226
16,256,1.148129,0.000262
32,8,1.240862,0.000023
32,16,1.247537,0.000036
32,32,1.262940,0.000029
32,64,1.309589,0.000032
32,128,1.292949,0.000380
32,256,1.337934,0.000311
64,8,1.803664,0.000090
64,16,1.738745,0.000098
64,32,1.793627,0.000094
64,64,1.641722,0.000252
64,128,1.750870,0.000441
64,256,1.665419,0.001169
