8,2,256,0.000005
2,8,256,0.000043
4,4,256,0.000023
8,2,512,0.000006
2,8,512,0.000045
4,4,512,0.000023
8,2,1024,0.000009
2,8,1024,0.000047
4,4,1024,0.000026
8,2,2048,0.000016
2,8,2048,0.000054
4,4,2048,0.000030
8,2,4096,0.000032
2,8,4096,0.000064
4,4,4096,0.000044
8,2,8192,0.000065
2,8,8192,0.000085
4,4,8192,0.000064
8,2,16384,0.000105
2,8,16384,0.000125
4,4,16384,0.000106
8,2,32768,0.000196
2,8,32768,0.000212
4,4,32768,0.000184
8,2,65536,0.000384
2,8,65536,0.000372
4,4,65536,0.000346
8,2,131072,0.000767
2,8,131072,0.000688
4,4,131072,0.000677
8,2,262144,0.001502
2,8,262144,0.001317
4,4,262144,0.001310
8,2,524288,0.002926
2,8,524288,0.002561
4,4,524288,0.002516
8,2,1048576,0.005253
2,8,1048576,0.004935
4,4,1048576,0.004950
8,2,2097152,0.009378
2,8,2097152,0.009477
4,4,2097152,0.008997
8,2,4194304,0.018601
2,8,4194304,0.018468
4,4,4194304,0.018133
8,2,8388608,0.038604
2,8,8388608,0.037768
4,4,8388608,0.037214
8,2,16777216,0.076302
2,8,16777216,0.075693
4,4,16777216,0.074524
8,2,33554432,0.151948
2,8,33554432,0.151960
4,4,33554432,0.150285
8,2,67108864,0.309872
2,8,67108864,0.303703
4,4,67108864,0.301807
8,2,134217728,0.615719
2,8,134217728,0.605851
4,4,134217728,0.601563
